rank,feature_index,mutual_information
291,10985,0.10331183
292,16039,0.13897495
293,1632,0.07998555
294,27575,0.12056402
295,22922,0.078652374
296,4231,0.06833008
297,1520,0.11456124
298,17741,0.07963269
299,6847,0.10306136
300,19260,0.10272029
301,3975,0.14783092
302,16870,0.1310621
303,27181,0.08920013
304,25790,0.09075349
305,4098,0.10310775
306,10960,0.07820033
307,8671,0.13284808
308,1391,0.124129534
309,513,0.11322521
310,4201,0.07905703
311,15016,0.11128327
312,13438,0.14654112
313,20914,0.08556731
314,15634,0.09553877
315,9185,0.144922
316,4587,0.07424752
317,6112,0.11701151
318,22518,0.07569279
319,20459,0.0811461
320,1846,0.062821165
321,345,0.11294442
322,27089,0.08848742
323,24771,0.102794245
324,23550,0.118008815
325,3981,0.0736813
326,14396,0.106888145
327,15476,0.09937974
328,6516,0.07878414
329,6336,0.094306685
330,21026,0.1363299
331,10833,0.094357155
332,4394,0.067105554
333,2203,0.07441729
334,8331,0.117807426
335,15566,0.08843806
336,14275,0.15389475
337,1902,0.1190012
338,97,0.120286204
339,22590,0.092073284
340,19934,0.109407455
341,1838,0.07353699
342,26962,0.093586236
343,3810,0.11398515
344,2278,0.07041403
345,11408,0.12641883
346,22673,0.08522164
347,14636,0.099880196
348,22496,0.074188754
349,22706,0.086735636
350,4968,0.14038874
351,11163,0.10483964
352,15724,0.12633775
353,6158,0.06364292
354,4987,0.119187325
355,20124,0.077715054
356,746,0.113275684
357,22863,0.08771445
358,4419,0.06445144
359,3876,0.1093994
360,18190,0.11572263
361,3983,0.0575804
362,312,0.1122168
363,20315,0.12958105
364,3961,0.09969017
365,4778,0.13486454
366,14141,0.108529896
367,13262,0.09818519
368,18050,0.15857635
369,23531,0.12379016
370,11501,0.091735415
371,2256,0.0765526
372,20514,0.093166366
373,23875,0.12509185
374,11250,0.0877522
375,6291,0.12194929
376,20853,0.1019941
377,14364,0.14862747
378,3864,0.07792357
379,4639,0.12156721
380,4526,0.08012833
381,25015,0.11781203
382,26976,0.07245638
383,1628,0.076129414
384,1911,0.07841509
