layer_index,count,percent
1,65,16.93
2,57,14.84
3,43,11.2
4,22,5.73
5,24,6.25
6,22,5.73
7,36,9.38
8,28,7.29
9,19,4.95
10,32,8.33
11,19,4.95
12,17,4.43
