rank,feature_index,mutual_information,layer_index,aggregation_component,within_component_dim
180,4058,0.080483496,2,mean,218
181,20813,0.10462612,10,max,77
182,24949,0.1090755,11,mean,373
183,11050,0.09943406,5,mean,298
184,1866,0.08994964,1,mean,330
185,18133,0.11947044,8,mean,469
186,16553,0.12703782,8,max,425
187,4246,0.070883684,2,mean,406
188,15668,0.11246022,7,mean,308
189,22655,0.16811813,10,mean,383
190,1553,0.08230471,1,mean,17
191,20224,0.10514135,9,mean,256
192,6103,0.15841533,3,min,727
193,1597,0.08986815,1,mean,61
194,493,0.120398186,1,max,493
195,4523,0.09438199,2,mean,683
196,2207,0.086225584,1,mean,671
197,20794,0.13657773,10,max,58
198,9119,0.10453565,4,mean,671
199,24707,0.08048823,11,mean,131
200,6621,0.110597834,3,mean,477
201,20174,0.094266586,9,mean,206
202,10840,0.12140335,5,mean,88
203,3769,0.10200175,2,min,697
204,27194,0.09983121,12,mean,314
205,1633,0.08567306,1,mean,97
206,20354,0.16240163,9,mean,386
207,3892,0.100006714,2,mean,52
208,5573,0.09857932,3,min,197
209,4401,0.11222907,2,mean,561
210,2765,0.11296604,2,max,461
211,18351,0.10416148,8,mean,687
212,13331,0.121283606,6,mean,275
213,22798,0.09834437,10,mean,526
214,22708,0.11216445,10,mean,436
215,6786,0.08281421,3,mean,642
216,12828,0.12559456,6,min,540
217,17217,0.14770032,8,min,321
218,1983,0.08822725,1,mean,447
219,2106,0.1330611,1,mean,570
220,13941,0.12590924,7,max,117
221,13444,0.11638461,6,mean,388
222,6754,0.115617245,3,mean,610
223,5186,0.13786192,3,max,578
224,4368,0.08075039,2,mean,528
225,20365,0.13076685,9,mean,397
226,20003,0.10251298,9,mean,35
227,21655,0.0791268,10,min,151
228,2226,0.079215854,1,mean,690
229,2293,0.074097306,1,mean,757
230,13654,0.15283026,6,mean,598
231,4216,0.07751548,2,mean,376
232,6120,0.11272858,3,min,744
233,21960,0.09962382,10,min,456
234,6695,0.11537081,3,mean,551
235,15479,0.08950185,7,mean,119
236,11502,0.12621643,5,mean,750
237,21686,0.12124743,10,min,182
238,1892,0.08003882,1,mean,356
239,17681,0.12151064,8,mean,17
240,8337,0.11312973,4,min,657
241,347,0.11828897,1,max,347
242,17824,0.09613367,8,mean,160
243,6356,0.1370544,3,mean,212
244,6420,0.095290646,3,mean,276
